,ALACHUA,BAKER,BAY,BRADFORD,BREVARD,BROWARD,CALHOUN,CHARLOTTE,CITRUS,CLAY,COLLIER,COLUMBIA,DESOTO,DIXIE,DUVAL,ESCAMBIA,FLAGLER,FRANKLIN,GADSDEN,GILCHRIST,GLADES,GULF,HAMILTON,HARDEE,HENDRY,HERNANDO,HIGHLANDS,HILLSBOROUGH,HOLMES,INDIANRIVER,JACKSON,JEFFERSON,LAFAYETTE,LAKE,LEE,LEON,LEVY,LIBERTY,MADISON,MANATEE,MARION,MARTIN,MIAMI-DADE,MONROE,NASSAU,OKALOOSA,OKEECHOBEE,ORANGE,OSCEOLA,PALMBEACH,PASCO,PINELLAS,POLK,PUTNAM,SANTAROSA,SARASOTA,SEMINOLE,STJOHNS,STLUCIE,SUMTER,SUWANNEE,TAYLOR,UNION,VOLUSIA,WAKULLA,WALTON,WASHINGTON
GLADES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.662194e-08,0.0,0.0,0.0,0.0,2.5646779e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010095668,0.0,0.0009224326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.669097e-10,0.0,0.0,0.0,0.0,0.0,0.0,1.1059128e-09,0.0,0.0,0.0,0.0,1.1410379e-05,0.0,0.0,4.5455442e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GULF,0.0,0.0,0.00010383043,0.0,0.0,0.0,0.0001660681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034450942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005458148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMILTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016144953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001253849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018944576,0.0,0.0,0.0,0.0,0.0,0.0
HARDEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018416334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024097203,1.09203775e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022972474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.952829e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HENDRY,0.0,0.0,0.0,0.0,0.0,2.4502064e-10,0.0,5.976108e-11,0.0,0.0,8.276379e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010095668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.773083e-07,0.0,0.0,0.0,0.0,0.0,0.0,2.2884826e-14,0.0,0.0,0.0,0.0,5.2092323e-15,0.0,0.0,2.1643606e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HERNANDO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021940585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0787854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067028417,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIGHLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8418188e-09,0.0,0.0,0.0,0.0,0.00014336951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009224326,0.0,0.0,0.00024097203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00074475905,0.0,5.059537e-11,0.0,0.0,0.0,3.907065e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HILLSBOROUGH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09203775e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001326809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018626091,0.0028407301,2.9367113e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HOLMES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.68793e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027447415,0.03091283
INDIANRIVER,0.0,0.0,0.0,0.0,6.8480557e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001094119,0.0,3.1669543e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00856651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
